Id,LtsVersion,CurrentVersion
Microsoft.NETCore.App,1.0.3,1.1.0
Microsoft.AspNetCore,1.0.3,1.1.0
Microsoft.AspNetCore.Authentication,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.Cookies,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.Facebook,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.Google,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.JwtBearer,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.MicrosoftAccount,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.OAuth,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.OpenIdConnect,1.0.1,1.1.0
Microsoft.AspNetCore.Authentication.Twitter,1.0.1,1.1.0
Microsoft.AspNetCore.CookiePolicy,1.0.1,1.1.0
Microsoft.AspNetCore.Cors,1.0.1,1.1.0
Microsoft.AspNetCore.DataProtection,1.0.1,1.1.0
Microsoft.AspNetCore.DataProtection.Extensions,1.0.1,1.1.0
Microsoft.AspNetCore.DataProtection.SystemWeb,1.0.1,1.1.0
Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore,1.0.1,1.1.0
Microsoft.AspNetCore.Hosting.WindowsServices,1.0.1,1.1.0
Microsoft.AspNetCore.Html.Abstractions,1.0.1,1.1.0
Microsoft.AspNetCore.Identity.EntityFrameworkCore,1.0.1,1.1.0
Microsoft.AspNetCore.MiddlewareAnalysis,1.0.1,1.1.0
Microsoft.AspNetCore.Mvc,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Abstractions,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.ApiExplorer,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Formatters.Xml,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.WebApiCompatShim,1.0.2,1.1.0
Microsoft.AspNetCore.Owin,1.0.1,1.1.0
Microsoft.AspNetCore.Routing,1.0.2,1.1.0
Microsoft.AspNetCore.Routing.Abstractions,1.0.2,1.1.0
Microsoft.AspNetCore.Server.Kestrel.Https,1.0.2,1.1.0
Microsoft.AspNetCore.Session,1.0.1,1.1.0
Microsoft.AspNetCore.StaticFiles,1.0.1,1.1.0
Microsoft.AspNetCore.TestHost,1.0.1,1.1.0
Microsoft.Data.Sqlite,1.0.1,1.1.0
Microsoft.EntityFrameworkCore,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Design,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.InMemory,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Relational,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Relational.Design,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Sqlite,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Sqlite.Design,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.SqlServer,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.SqlServer.Design,1.0.2,1.1.0
Microsoft.Extensions.Caching.Memory,1.0.1,1.1.0
Microsoft.Extensions.Caching.Redis,1.0.1,1.1.0
Microsoft.Extensions.Caching.SqlServer,1.0.1,1.1.0
Microsoft.Extensions.CommandLineUtils,1.0.1,1.1.0
Microsoft.Extensions.Configuration,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Binder,1.0.1,1.1.0
Microsoft.Extensions.Configuration.CommandLine,1.0.1,1.1.0
Microsoft.Extensions.Configuration.EnvironmentVariables,1.0.1,1.1.0
Microsoft.Extensions.Configuration.FileExtensions,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Ini,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Json,1.0.1,1.1.0
Microsoft.Extensions.Configuration.UserSecrets,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Xml,1.0.1,1.1.0
Microsoft.Extensions.DependencyInjection,1.0.1,1.1.0
Microsoft.Extensions.DiagnosticAdapter,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Composite,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Embedded,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Physical,1.0.1,1.1.0
Microsoft.Extensions.FileSystemGlobbing,1.0.1,1.1.0
Microsoft.Extensions.Globalization.CultureInfoCache,1.0.1,1.1.0
Microsoft.Extensions.Localization,1.0.1,1.1.0
Microsoft.Extensions.Logging,1.0.1,1.1.0
Microsoft.Extensions.Logging.Console,1.0.1,1.1.0
Microsoft.Extensions.Logging.Debug,1.0.1,1.1.0
Microsoft.Extensions.Logging.Filter,1.0.1,1.1.0
Microsoft.Extensions.Logging.TraceSource,1.0.1,1.1.0
Microsoft.VisualStudio.Web.BrowserLink,1.0.0,1.0.0
Microsoft.VisualStudio.Web.BrowserLink.Loader,14.0.1,14.1.0
Microsoft.AspNetCore.AzureAppServicesIntegration,,1.0.0
Microsoft.AspNetCore.DataProtection.AzureStorage,,1.0.0
Microsoft.AspNetCore.Localization.Routing,,1.1.0
Microsoft.AspNetCore.Rewrite,,1.0.0
Microsoft.AspNetCore.ResponseCaching,,1.1.0
Microsoft.AspNetCore.ResponseCompression,,1.0.0
Microsoft.AspNetCore.WebSockets,,1.0.0
Microsoft.Extensions.Logging.AzureAppServices,,1.0.0
Microsoft.Extensions.Configuration.AzureKeyVault,,1.0.0
Microsoft.Extensions.Logging.EventSource,,1.1.0
System.ServiceModel.Duplex,4.0.1,4.3.0
System.ServiceModel.Http,4.1.0,4.3.0
System.ServiceModel.NetTcp,4.1.0,4.3.0
System.ServiceModel.Security,4.0.1,4.3.0
Libuv,1.9.1,1.9.1
Microsoft.AspNet.WebApi.Client,5.2.2,5.2.2
Microsoft.AspNetCore.Antiforgery,1.0.2,1.1.0
Microsoft.AspNetCore.Authorization,1.0.1,1.1.0
Microsoft.AspNetCore.Cryptography.Internal,1.0.1,1.1.0
Microsoft.AspNetCore.Cryptography.KeyDerivation,1.0.1,1.1.0
Microsoft.AspNetCore.DataProtection.Abstractions,1.0.1,1.1.0
Microsoft.AspNetCore.Diagnostics,1.0.1,1.1.0
Microsoft.AspNetCore.Diagnostics.Abstractions,1.0.1,1.1.0
Microsoft.AspNetCore.Hosting,1.0.1,1.1.0
Microsoft.AspNetCore.Hosting.Abstractions,1.0.1,1.1.0
Microsoft.AspNetCore.Hosting.Server.Abstractions,1.0.1,1.1.0
Microsoft.AspNetCore.Http,1.0.1,1.1.0
Microsoft.AspNetCore.Http.Abstractions,1.0.1,1.1.0
Microsoft.AspNetCore.Http.Extensions,1.0.1,1.1.0
Microsoft.AspNetCore.Http.Features,1.0.1,1.1.0
Microsoft.AspNetCore.HttpOverrides,1.0.1,1.1.0
Microsoft.AspNetCore.Identity,1.0.1,1.1.0
Microsoft.AspNetCore.JsonPatch,1.0.0,1.1.0
Microsoft.AspNetCore.Localization,1.0.1,1.1.0
Microsoft.AspNetCore.Mvc.Core,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Cors,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.DataAnnotations,1.0.2,1.1.0
