https://github.com/dotnet/toolset/issues/XXXX ---> https://github.com/dotnet/sdk/issues/YYYY
8 ---> 4250
11 ---> 4251
20 ---> 4252
22 ---> 4253
345 ---> 4254
412 ---> 4255
440 ---> 4256
1178 ---> 4258
1256 ---> 4259
2056 ---> 4260
2866 ---> 4261
3184 ---> 4262
3235 ---> 4263
3480 ---> 4264
3486 ---> 4265
3492 ---> 4266
3493 ---> 4267
3563 ---> 4268
3572 ---> 4269
3668 ---> 4270
3740 ---> 4271
3741 ---> 4272
3743 ---> 4273
3766 ---> 4274
3801 ---> 4275
3802 ---> 4276
3806 ---> 4277
3850 ---> 4278
4023 ---> 4279
4114 ---> 4280
4196 ---> 4281
4204 ---> 4282
